,word,frequency,count_rate
88,하세요,688,0.001783335147773164
89,봤는데,686,0.0017781510339714977
90,점,657,0.0017029813838473381
91,언제나,637,0.0016511402458306765
92,좋고,636,0.0016485481889298435
93,분,636,0.0016485481889298435
94,번창,633,0.001640772018227344
95,포장,630,0.001632995847524845
96,추천,614,0.0015915229371115155
97,많아서,609,0.00157856265260735
98,많아요,601,0.0015578261974006854
99,와서,599,0.0015526420835990191
100,비,595,0.001542273855995687
101,추가,590,0.0015293135714915215
103,좋았어요,579,0.0015008009455823575
104,완전,576,0.0014930247748798581
105,사항,570,0.0014774724334748596
107,먹어도,558,0.0014463677506648626
108,근데,558,0.0014463677506648626
109,할게요,556,0.0014411836368631965
110,존맛,552,0.001430815409259864
111,굿,548,0.0014204471816565316
112,먹기,540,0.001399710726449867
113,있어요,539,0.001397118669549034
114,먹을게요,538,0.001394526612648201
115,먹는데,536,0.0013893424988465346
117,가격,530,0.001373790157441536
119,담,514,0.0013323172470282067
120,거,513,0.0013297251901273736
121,믿고,509,0.0013193569625240414
122,메뉴,508,0.0013167649056232082
123,국물,504,0.001306396678019876
125,매콤,492,0.001275291995209879
126,바삭,491,0.0012726999383090457
127,좋네요,486,0.0012597396538048804
129,왔어요,480,0.001244187312399882
130,정도,469,0.001215674686490718
131,맵,469,0.001215674686490718
132,짱,464,0.0012027144019865525
133,맛있어용,457,0.001184570003680721
134,가성,455,0.0011793858898790546
135,먹었네요,438,0.001135320922564892
136,해,438,0.001135320922564892
138,냄새,435,0.001127544751862393
139,그냥,433,0.0011223606380607266
140,예상,430,0.0011145844673582275
141,좋았습니다,427,0.0011068082966557281
142,좋습니다,427,0.0011068082966557281
143,부드럽고,423,0.001096440069052396
144,맛있게잘,422,0.0010938480121515627
145,시킬게요,422,0.0010938480121515627
146,앞,418,0.0010834797845482305
147,잇어요,411,0.001065335386242399
148,말,411,0.001065335386242399
149,번,411,0.001065335386242399
151,주신,403,0.001044598931035734
152,먹고있습니다,401,0.001039414817234068
153,않고,397,0.0010290465896307356
154,없이,389,0.001008310134424071
155,특히,387,0.0010031260206224046
156,배송,387,0.0010031260206224046
157,개,385,0.0009979419068207385
158,할,380,0.000984981622316573
159,굳,379,0.00098238956541574
160,잇게,373,0.0009668372240107415
161,만족,369,0.0009564689964074091
162,단골,359,0.0009305484273990783
163,제일,357,0.0009253643135974121
164,있어서,353,0.0009149960859940798
165,먹습니다,352,0.0009124040290932467
166,배,347,0.0008994437445890812
167,주셔서,343,0.0008890755169857488
168,먹겠습니다,343,0.0008890755169857488
169,먹다가,343,0.0008890755169857488
170,살,343,0.0008890755169857488
171,중,333,0.000863154947977418
172,보통,333,0.000863154947977418
173,꼭,332,0.000860562891076585
174,재,328,0.0008501946634732525
175,좋은,323,0.0008372343789690871
176,빠른,318,0.0008242740944649217
177,전,318,0.0008242740944649217
178,수,316,0.0008190899806632555
179,살짝,314,0.0008139058668615893
182,느낌,310,0.000803537639258257
183,탱,308,0.0007983535254565908
184,빨라요,306,0.0007931694116549247
185,용,302,0.0007828011840515923
186,한번,302,0.0007828011840515923
187,깔끔하고,301,0.0007802091271507592
188,오고,299,0.000775025013349093
189,배부르게,298,0.00077243295644826
190,먹고있어요,297,0.0007698408995474268
191,하는,296,0.0007672488426465938
192,날,295,0.0007646567857457607
193,계속,291,0.0007542885581424283
194,가족,289,0.0007491044443407622
195,굿굿,288,0.0007465123874399291
196,다시,282,0.0007309600460349305
197,했습니다,279,0.0007231838753324313
198,여전히,276,0.000715407704629932
199,안나,274,0.0007102235908282658
200,주시,273,0.0007076315339274328
201,감사해요,273,0.0007076315339274328
203,도착,268,0.0006946712494232673
204,빠르게,267,0.0006920791925224343
205,먹어서,267,0.0006920791925224343
206,이렇게,265,0.000686895078720768
208,먹느라,264,0.000684303021819935
209,맛있음,264,0.000684303021819935
210,면,263,0.000681710964919102
211,먹었,260,0.0006739347942166027
212,강추,258,0.0006687506804149365
213,찍었네요,258,0.0006687506804149365
214,기분,257,0.0006661586235141033
215,약간,256,0.0006635665666132703
216,구성,256,0.0006635665666132703
217,따뜻하게,255,0.0006609745097124372
218,달라,254,0.0006583824528116041
220,끼,251,0.0006506062821091048
222,해주셔서,248,0.0006428301114066056
223,빨,247,0.0006402380545057725
224,듯,246,0.0006376459976049395
225,보고,244,0.0006324618838032733
226,시킬,237,0.0006143174854974416
227,하니,236,0.0006117254285966085
228,지점,234,0.0006065413147949423
229,저번,233,0.0006039492578941093
230,먹다,232,0.0006013572009932762
231,만족합니다,231,0.0005987651440924431
232,게,231,0.0005987651440924431
233,뭐,229,0.000593581030290777
234,먹으니,229,0.000593581030290777
235,알,229,0.000593581030290777
236,많네요,225,0.0005832128026874446
237,덕분,225,0.0005832128026874446
238,먹으면,223,0.0005780286888857785
239,할께요,223,0.0005780286888857785
240,불,222,0.0005754366319849453
241,감자,222,0.0005754366319849453
242,저녁,221,0.0005728445750841123
243,맛있는데,220,0.0005702525181832792
244,가게,219,0.000567660461282446
245,도,219,0.000567660461282446
246,양은,219,0.000567660461282446
247,입,215,0.0005572922336791137
248,나고,215,0.0005572922336791137
249,별로,214,0.0005547001767782806
250,따로,213,0.0005521081198774475
252,입맛,212,0.0005495160629766145
253,했네요,208,0.0005391478353732821
255,하네요,206,0.000533963721571616
256,습,206,0.000533963721571616
257,반찬,206,0.000533963721571616
259,보니,205,0.0005313716646707828
261,무조건,204,0.0005287796077699498
262,하게,204,0.0005287796077699498
264,첨,203,0.0005261875508691167
265,시켜요,203,0.0005261875508691167
266,없고,202,0.0005235954939682836
267,대박,202,0.0005235954939682836
268,세트,201,0.0005210034370674505
269,깜빡,200,0.0005184113801666175
270,나네요,200,0.0005184113801666175
271,원래,199,0.0005158193232657843
272,이제,197,0.0005106352094641182
274,있고,194,0.000502859038761619
275,한,194,0.000502859038761619
276,무,192,0.0004976749249599527
277,매우,191,0.0004950828680591196
280,덜,189,0.0004898987542574535
281,있는,189,0.0004898987542574535
283,적당히,188,0.0004873066973566204
285,같습니다,187,0.0004847146404557873
287,없는,181,0.00046916229905078876
290,하겠습니다,175,0.00045360995764579025
291,선택,175,0.00045360995764579025
293,짐하게,174,0.00045101790074495715
294,는데,174,0.00045101790074495715
295,전화,173,0.00044842584384412404
296,늦게,172,0.000445833786943291
297,야식,172,0.000445833786943291
298,신선하고,170,0.0004406496731416248
299,기사,170,0.0004406496731416248
300,했지만,170,0.0004406496731416248
301,먹,170,0.0004406496731416248
302,감사,170,0.0004406496731416248
303,감사히,168,0.00043546555933995863
304,반,168,0.00043546555933995863
306,같네요,166,0.0004302814455382925
307,상태,166,0.0004302814455382925
308,땐,166,0.0004302814455382925
309,토핑,166,0.0004302814455382925
312,시켜서,165,0.0004276893886374594
314,식사,164,0.0004250973317366263
315,같은,164,0.0004250973317366263
316,인분,163,0.00042250527483579317
317,오래,163,0.00042250527483579317
318,쫄깃,162,0.0004199132179349601
319,맛있어,162,0.0004199132179349601
320,먹네요,161,0.000417321161034127
321,온,160,0.0004147291041332939
322,감동,159,0.00041213704723246086
323,왔네요,158,0.00040954499033162776
324,명,158,0.00040954499033162776
325,요즘,157,0.00040695293343079466
326,부분,157,0.00040695293343079466
328,없어요,157,0.00040695293343079466
329,함,156,0.0004043608765299616
330,들어주시고,156,0.0004043608765299616
332,생각나서,155,0.0004017688196291285
333,조합,155,0.0004017688196291285
334,먹은,155,0.0004017688196291285
335,그런지,155,0.0004017688196291285
336,어제,154,0.0003991767627282954
337,찍었어요,153,0.00039658470582746235
338,간이,153,0.00039658470582746235
339,맛있,152,0.00039399264892662925
340,먹었어용,152,0.00039399264892662925
341,없어서,152,0.00039399264892662925
342,강,152,0.00039399264892662925
344,걸,151,0.00039140059202579614
345,질,151,0.00039140059202579614
346,기본,150,0.00038880853512496304
348,때문,149,0.00038621647822413
349,이용,149,0.00038621647822413
350,예정,148,0.0003836244213232969
351,고민,148,0.0003836244213232969
352,맛있다고,147,0.0003810323644224638
353,하면,147,0.0003810323644224638
354,받았습니다,146,0.00037844030752163073
355,아쉬웠어요,146,0.00037844030752163073
356,왔고,146,0.00037844030752163073
357,후,145,0.00037584825062079763
358,없네요,144,0.00037325619371996453
359,였어요,144,0.00037325619371996453
360,보는데,144,0.00037325619371996453
362,예전,141,0.00036548002301746527
363,아쉽네요,141,0.00036548002301746527
364,사랑,141,0.00036548002301746527
365,좋아하는,141,0.00036548002301746527
366,가장,140,0.00036288796611663217
367,먹을께요,139,0.0003602959092157991
368,줄,139,0.0003602959092157991
369,이집,139,0.0003602959092157991
370,애,139,0.0003602959092157991
371,간만,138,0.000357703852314966
372,나서,137,0.0003551117954141329
373,쿠폰,136,0.00035251973851329986
374,이유,136,0.00035251973851329986
375,서,136,0.00035251973851329986
376,살이,136,0.00035251973851329986
377,족장,136,0.00035251973851329986
378,평소,135,0.00034992768161246676
379,가끔,135,0.00034992768161246676
380,종종,135,0.00034992768161246676
381,않아서,134,0.00034733562471163365
382,들어주셔서,134,0.00034733562471163365
383,최애,134,0.00034733562471163365
384,시,133,0.0003447435678108006
385,맛있다,133,0.0003447435678108006
386,빨랐어요,133,0.0003447435678108006
387,데,133,0.0003447435678108006
388,파세요,133,0.0003447435678108006
389,덮,132,0.0003421515109099675
391,적당하고,131,0.0003395594540091344
392,생각날,131,0.0003395594540091344
393,찜,130,0.00033696739710830135
394,식어서,130,0.00033696739710830135
395,있네요,130,0.00033696739710830135
396,비벼,130,0.00033696739710830135
397,달,129,0.00033437534020746824
398,좋아서,129,0.00033437534020746824
400,였습니다,128,0.00033178328330663514
401,된,128,0.00033178328330663514
402,가루,128,0.00033178328330663514
403,두번째,128,0.00033178328330663514
404,사이즈,128,0.00033178328330663514
405,드세요,128,0.00033178328330663514
407,급하게,127,0.00032919122640580204
408,시키는,127,0.00032919122640580204
409,시킬께요,127,0.00032919122640580204
410,지금,127,0.00032919122640580204
413,본,126,0.000326599169504969
414,사이드,126,0.000326599169504969
415,먹음,125,0.0003240071126041359
416,기름,124,0.0003214150557033028
417,늦은,124,0.0003214150557033028
418,매워요,124,0.0003214150557033028
419,시켰어요,124,0.0003214150557033028
420,하고,123,0.00031882299880246973
421,같은데,123,0.00031882299880246973
423,재료,122,0.00031623094190163663
424,잘먹엇습니,122,0.00031623094190163663
425,분만,122,0.00031623094190163663
426,좋겠어요,122,0.00031623094190163663
427,임,122,0.00031623094190163663
428,사람,121,0.0003136388850008035
429,문자,121,0.0003136388850008035
430,실망,120,0.0003110468280999705
431,배고파서,120,0.0003110468280999705
433,좋아해서,119,0.00030845477119913737
434,젤,119,0.00030845477119913737
435,신경,118,0.00030586271429830427
436,진리,118,0.00030586271429830427
437,있는데,118,0.00030586271429830427
438,식후감,118,0.00030586271429830427
439,요기,117,0.00030327065739747116
440,중간,117,0.00030327065739747116
441,매워서,117,0.00030327065739747116
442,동네,116,0.0003006786004966381
443,봐요,116,0.0003006786004966381
444,먹게,116,0.0003006786004966381
