,word,frequency
425,평점,17
426,당면,17
427,샐러드,17
428,이용,17
429,버거킹,17
430,케첩,17
431,튀,17
432,버림,16
433,갖다,16
434,소리,16
435,버리고,16
436,끝,16
437,보네요,16
438,계란,16
439,직접,16
440,새벽,16
441,밍밍,16
442,있습니다,16
443,두고,16
444,보쌈,16
445,젠,16
446,본,16
447,시키면,16
448,꼭,16
449,위,16
450,받아,16
451,식고,16
452,움,16
453,몇번,16
454,우동,16
455,통,16
456,아닌거,16
457,와퍼,16
458,큰,15
459,먹습니다,15
460,오지,15
461,가장,15
462,간이,15
463,받은,15
464,아직,15
465,얘기,15
466,머리카락,15
467,선택,15
468,짜리,15
469,후기,15
470,앱,15
471,업체,15
472,가슴,15
473,너무하네요,15
474,해야,15
475,차갑고,15
476,연어,15
477,걸림,15
478,하게,15
479,준,15
480,전체,15
481,왔고,15
482,나와서,15
483,안되고,15
484,사용,15
485,진심,15
486,이름,15
487,양상추,15
488,순대,15
489,녹아서,15
490,단골,14
491,신건,14
492,해물,14
493,드렸는데,14
494,없어,14
495,숟가락,14
496,엇,14
497,가지,14
498,모르겠네요,14
499,지,14
500,일반,14
501,먹을수가,14
502,짜,14
503,그것,14
504,오는,14
505,값,14
506,시켰을,14
507,차이,14
508,먹긴,14
509,관리,14
510,상당히,14
511,토핑,14
512,회,14
513,편,14
514,장난,14
515,짜증,14
516,괜찮은데,14
517,시킨,14
518,한참,14
519,약간,14
520,돼지,14
521,않은,14
522,육수,14
523,작고,14
524,행사,14
525,무도,14
526,비비큐,14
527,케찹,14
528,않아서,13
529,간도,13
530,요즘,13
531,뻑뻑,13
532,믿고,13
533,집은,13
534,먼저,13
535,보시,13
536,아직도,13
537,이었습니다,13
538,가져다,13
539,땐,13
540,뚜껑,13
541,납니다,13
542,개도,13
543,라면,13
544,봉투,13
545,심하네요,13
546,좋게,13
547,쓰는데,13
548,마냥,13
549,연결,13
550,였습니다,13
551,맛있어요,13
552,했지만,13
553,용기,13
554,기다렸는데,13
555,나네요,13
556,본사,13
557,분도,13
558,고,13
559,처리,13
560,아깝네요,13
561,튀겨서,13
562,손,13
563,두번째,13
564,맵,13
565,곱빼기,13
566,달랑,13
567,문의,12
568,그렇고,12
569,빠르고,12
570,만족,12
571,주방,12
572,하시고,12
573,당연히,12
574,보내,12
575,되어,12
576,했고,12
577,지나도,12
578,맞나요,12
579,하신,12
580,주셨네요,12
581,부탁,12
582,받음,12
583,먹지,12
584,내용물,12
585,김,12
586,이유,12
587,넣어,12
588,작은,12
589,개인,12
590,종이,12
591,성의,12
592,늦어서,12
593,맛있는데,12
594,간,12
595,추천,12
596,사이즈,12
597,채,12
598,좋아하는데,12
599,날씨,12
600,여기는,12
601,양심,12
602,였음,12
603,가서,12
604,감사합니다,12
605,반찬,12
606,먹을만,12
607,익어서,12
608,덩어리,12
609,오네요,12
610,전자렌지,12
611,딱딱해서,12
612,만들어,12
613,안주시,12
614,이럴거면,12
615,차갑게,12
616,튀긴,12
617,핫,12
618,인분,11
619,먹을거,11
620,해달라고,11
621,아닌듯,11
622,곱,11
623,별루,11
624,그럭저럭,11
625,일찍,11
626,다신안,11
627,도안,11
628,먹지도,11
629,내고,11
630,지난,11
631,봉지,11
632,상황,11
633,가족,11
634,몇개,11
635,싶을,11
636,미니,11
637,이리,11
638,뭘,11
639,하지도,11
640,바,11
