,word,frequency,count_rate
266,찍었네요,191,0.0005527819984082194
267,진리,191,0.0005527819984082194
268,배부르게,191,0.0005527819984082194
272,저번,187,0.0005412054120541205
273,서,187,0.0005412054120541205
274,덜,186,0.0005383112654655959
275,시킬,186,0.0005383112654655959
276,는데,186,0.0005383112654655959
278,게,185,0.0005354171188770711
279,없는,185,0.0005354171188770711
281,먹느라,184,0.0005325229722885464
282,없어서,184,0.0005325229722885464
283,맛있어,184,0.0005325229722885464
284,꼭,184,0.0005325229722885464
285,나고,183,0.0005296288257000217
286,할께요,182,0.000526734679111497
287,요즘,180,0.0005209463859344476
288,빵,179,0.0005180522393459228
289,빨랐어요,177,0.0005122639461688735
290,맛있,177,0.0005122639461688735
292,아쉽네요,174,0.0005035815064032993
293,먹고있어요,174,0.0005035815064032993
294,맛있다,174,0.0005035815064032993
295,보고,174,0.0005035815064032993
296,시,174,0.0005035815064032993
297,문자,174,0.0005035815064032993
298,보니,173,0.0005006873598147746
299,부드럽고,172,0.0004977932132262499
300,늦게,172,0.0004977932132262499
301,강추,169,0.0004891107734606758
302,먹겠습니다,169,0.0004891107734606758
303,같네요,169,0.0004891107734606758
304,한번,168,0.00048621662687215107
305,먹다,167,0.00048332248028362635
306,신경,167,0.00048332248028362635
308,걸,165,0.0004775341871065769
309,살이,164,0.00047464004051805226
310,따로,162,0.00046885174734100283
311,예전,161,0.0004659576007524781
312,먹은,161,0.0004659576007524781
313,감사,161,0.0004659576007524781
314,입,160,0.0004630634541639534
315,괜찮아요,160,0.0004630634541639534
317,임,159,0.0004601693075754287
318,깔끔하고,159,0.0004601693075754287
319,저녁,159,0.0004601693075754287
320,굿굿굿,157,0.00045438101439837926
321,무난,157,0.00045438101439837926
322,있는,157,0.00045438101439837926
323,끼,156,0.0004514868678098546
324,도,156,0.0004514868678098546
325,같은,156,0.0004514868678098546
326,한,154,0.00044569857463280517
327,때문,154,0.00044569857463280517
330,습,152,0.00043991028145575574
331,가게,151,0.000437016134867231
332,보통,150,0.0004341219882787063
333,그릇,150,0.0004341219882787063
334,이용,150,0.0004341219882787063
335,받았습니다,149,0.0004312278416901816
336,있고,149,0.0004312278416901816
337,였어요,148,0.0004283336951016569
338,평소,148,0.0004283336951016569
339,조아요,148,0.0004283336951016569
340,튀,148,0.0004283336951016569
341,없어요,147,0.0004254395485131322
342,기본,147,0.0004254395485131322
343,했네요,146,0.0004225454019246075
344,쿠폰,146,0.0004225454019246075
345,빠름,146,0.0004225454019246075
346,왔고,146,0.0004225454019246075
347,하고,145,0.0004196512553360828
348,보는데,144,0.00041675710874755807
349,하시는,144,0.00041675710874755807
350,바삭바삭,143,0.00041386296215903336
351,안나,142,0.00041096881557050864
352,파세요,142,0.00041096881557050864
353,음,142,0.00041096881557050864
354,데,142,0.00041096881557050864
355,분도,142,0.00041096881557050864
356,들어주셔서,141,0.00040807466898198393
357,최애,141,0.00040807466898198393
358,내,141,0.00040807466898198393
359,일찍,140,0.0004051805223934592
361,줄,139,0.0004022863758049345
362,봐요,139,0.0004022863758049345
